STATION_FROM,STATION_TO,DISTANCE
117,4,3.8183000000000002
5,6,2.2453000000000003
6,5,2.2453000000000003
5,7,2.6289000000000002
7,5,2.6289000000000002
5,8,3.2965999999999998
8,5,3.2965999999999998
5,9,1.6682000000000001
9,5,1.6682000000000001
5,10,1.9307999999999998
10,5,1.9307999999999998
5,11,1.3571
11,5,1.3571
5,12,4.3321000000000005
12,5,4.3321000000000005
5,13,1.2002000000000002
13,5,1.2002000000000002
5,14,2.2557
14,5,2.2557
5,15,4.6627
15,5,4.6627
5,16,3.6054
16,5,3.6054
5,17,1.4222000000000001
17,5,1.4222000000000001
5,18,0.6117999999999999
18,5,0.6117999999999999
5,19,1.1815
19,5,1.1815
5,20,1.3187
20,5,1.3187
5,21,2.2439
21,5,2.2439
5,22,2.8508
22,5,2.8508
5,23,3.1027
23,5,3.1027
5,24,3.9973
24,5,3.9973
5,25,1.5409000000000002
25,5,1.5409000000000002
5,26,1.7317
26,5,1.7317
5,27,1.8737000000000001
27,5,1.8737000000000001
5,28,4.0838
28,5,4.0838
5,29,2.6984
29,5,2.6984
5,30,3.8828
30,5,3.8828
5,31,3.4615
31,5,3.4615
5,32,2.4171
32,5,2.4171
5,33,3.5429
33,5,3.5429
5,34,0.3498
34,5,0.3498
5,35,3.009
35,5,3.009
5,36,1.3395
36,5,1.3395
5,37,1.4398
37,5,1.4398
5,38,3.8356
38,5,3.8356
5,39,0.7632000000000001
39,5,0.7632000000000001
5,40,3.0883000000000003
40,5,3.0883000000000003
5,41,0.959
41,5,0.959
5,42,3.363
42,5,3.363
5,43,0.6144
43,5,0.6144
5,44,4.3544
44,5,4.3544
5,45,3.5191
45,5,3.5191
5,47,1.3680999999999999
47,5,1.3680999999999999
5,48,3.0428
48,5,3.0428
5,49,2.8707
49,5,2.8707
5,50,3.5004
50,5,3.5004
5,51,1.2982
51,5,1.2982
5,52,1.2578
52,5,1.2578
5,53,1.5431
53,5,1.5431
5,54,0.9482
54,5,0.9482
5,55,0.8577
55,5,0.8577
5,56,1.9615
56,5,1.9615
5,57,2.2619000000000002
57,5,2.2619000000000002
5,58,2.1521
58,5,2.1521
5,59,4.3504
59,5,4.3504
5,60,4.6323
60,5,4.6323
5,61,4.4291
61,5,4.4291
5,62,2.3289
62,5,2.3289
5,63,1.8689
63,5,1.8689
5,64,2.9036
64,5,2.9036
5,65,3.486
65,5,3.486
5,66,3.7397
66,5,3.7397
5,67,4.0001999999999995
67,5,4.0001999999999995
5,68,2.8981
68,5,2.8981
5,69,2.402
69,5,2.402
5,71,1.1198
71,5,1.1198
5,72,2.4675
72,5,2.4675
5,73,2.5021999999999998
73,5,2.5021999999999998
5,74,2.7108000000000003
74,5,2.7108000000000003
5,75,3.1414
75,5,3.1414
5,76,3.4803
76,5,3.4803
5,77,3.4666
77,5,3.4666
5,78,4.8118
78,5,4.8118
5,79,4.1697
79,5,4.1697
5,80,3.7195
80,5,3.7195
5,82,3.8966999999999996
82,5,3.8966999999999996
5,83,3.9074
83,5,3.9074
5,84,3.2383
84,5,3.2383
5,85,3.4958
85,5,3.4958
5,86,3.8438000000000003
86,5,3.8438000000000003
5,87,3.3630999999999998
87,5,3.3630999999999998
5,88,3.7216
88,5,3.7216
5,89,0.991
89,5,0.991
5,90,3.1815
90,5,3.1815
5,91,2.4806999999999997
91,5,2.4806999999999997
5,92,3.7432
92,5,3.7432
5,93,4.1178
93,5,4.1178
5,94,4.0457
94,5,4.0457
5,95,3.9489
95,5,3.9489
5,96,4.1836
96,5,4.1836
5,97,4.171
97,5,4.171
5,98,1.9894
98,5,1.9894
5,99,2.5488000000000004
99,5,2.5488000000000004
5,100,3.6447
100,5,3.6447
5,101,2.9476
101,5,2.9476
5,102,3.9191
102,5,3.9191
5,103,4.5245
103,5,4.5245
5,104,4.5832
104,5,4.5832
5,105,5.2803
105,5,5.2803
5,106,4.931100000000001
106,5,4.931100000000001
5,107,5.0045
107,5,5.0045
5,108,4.3019
108,5,4.3019
5,109,3.8821999999999997
109,5,3.8821999999999997
5,110,3.8839
110,5,3.8839
5,111,4.2042
111,5,4.2042
5,112,4.2463999999999995
112,5,4.2463999999999995
5,113,1.4630999999999998
113,5,1.4630999999999998
5,114,1.1149
114,5,1.1149
5,115,3.8396999999999997
115,5,3.8396999999999997
5,116,4.0470999999999995
116,5,4.0470999999999995
5,117,3.2605
117,5,3.2605
6,7,0.6536000000000001
7,6,0.6536000000000001
6,8,2.095
8,6,2.095
6,9,0.8168
9,6,0.8168
6,10,0.2516
10,6,0.2516
6,11,2.4683
11,6,2.4683
6,12,2.3568000000000002
12,6,2.3568000000000002
6,13,2.2169
13,6,2.2169
6,14,0.7816000000000001
14,6,0.7816000000000001
6,15,2.2313
15,6,2.2313
6,16,2.1533
16,6,2.1533
6,17,0.4492
17,6,0.4492
6,18,1.2855999999999999
18,6,1.2855999999999999
6,19,3.062
19,6,3.062
6,20,2.3121
20,6,2.3121
6,21,2.5465999999999998
21,6,2.5465999999999998
6,22,2.7398000000000002
22,6,2.7398000000000002
6,23,1.6505999999999998
23,6,1.6505999999999998
6,24,2.5450999999999997
24,6,2.5450999999999997
6,25,2.5343
25,6,2.5343
6,26,2.0816999999999997
26,6,2.0816999999999997
6,27,2.1765
27,6,2.1765
6,28,2.8432
28,6,2.8432
6,29,0.7231000000000001
29,6,0.7231000000000001
6,30,1.9075
30,6,1.9075
6,31,1.4862
31,6,1.4862
6,32,2.7896
32,6,2.7896
6,33,1.5191
33,6,1.5191
6,34,2.5979
34,6,2.5979
6,35,1.0642
35,6,1.0642
6,36,1.6422
36,6,1.6422
6,37,1.1211
37,6,1.1211
6,38,2.3835
38,6,2.3835
6,39,2.3439
39,6,2.3439
6,40,1.113
40,6,1.113
6,41,1.9392
41,6,1.9392
6,42,1.4181
42,6,1.4181
6,43,1.557
43,6,1.557
6,44,2.5726999999999998
44,6,2.5726999999999998
6,45,2.0669
45,6,2.0669
6,47,2.5595
47,6,2.5595
6,48,2.3488
48,6,2.3488
6,49,2.5855
49,6,2.5855
6,50,1.5555999999999999
50,6,1.5555999999999999
6,51,0.7319
51,6,0.7319
6,52,1.2244000000000002
52,6,1.2244000000000002
6,53,1.2245
53,6,1.2245
6,54,1.7197
54,6,1.7197
6,55,1.6293
55,6,1.6293
6,56,2.9657
56,6,2.9657
6,57,2.8316999999999997
57,6,2.8316999999999997
6,58,3.5707
58,6,3.5707
6,59,2.5364
59,6,2.5364
6,60,2.4303000000000003
60,6,2.4303000000000003
6,61,2.3165
61,6,2.3165
6,62,2.7396
62,6,2.7396
6,63,3.0907
63,6,3.0907
6,64,2.6386999999999996
64,6,2.6386999999999996
6,65,2.7331
65,6,2.7331
6,66,2.9867
66,6,2.9867
6,67,3.2473
67,6,3.2473
6,68,3.2006
68,6,3.2006
6,69,3.3045999999999998
69,6,3.3045999999999998
6,71,0.7313999999999999
71,6,0.7313999999999999
6,72,0.5227
72,6,0.5227
6,73,0.5574
73,6,0.5574
6,74,0.7659
74,6,0.7659
6,75,1.1965999999999999
75,6,1.1965999999999999
6,76,1.4223
76,6,1.4223
6,77,1.4912999999999998
77,6,1.4912999999999998
6,78,2.6098000000000003
78,6,2.6098000000000003
6,79,2.1944
79,6,2.1944
6,80,1.7746
80,6,1.7746
6,82,1.8875
82,6,1.8875
6,83,2.641
83,6,2.641
6,84,3.2990999999999997
84,6,3.2990999999999997
6,85,3.0215
85,6,3.0215
6,86,1.8989
86,6,1.8989
6,87,1.4183
87,6,1.4183
6,88,1.7768
88,6,1.7768
6,89,2.6119
89,6,2.6119
6,90,3.4115
90,6,3.4115
6,91,3.838
91,6,3.838
6,92,1.7984
92,6,1.7984
6,93,2.173
93,6,2.173
6,94,2.1009
94,6,2.1009
6,95,2.004
95,6,2.004
6,96,2.4187
96,6,2.4187
6,97,3.1372
97,6,3.1372
6,98,2.2921
98,6,2.2921
6,99,2.5197
99,6,2.5197
6,100,1.6999000000000002
100,6,1.6999000000000002
6,101,0.9722999999999999
101,6,0.9722999999999999
6,102,1.9743
102,6,1.9743
6,103,2.5797
103,6,2.5797
6,104,2.6383
104,6,2.6383
6,105,3.3355
105,6,3.3355
6,106,2.9863000000000004
106,6,2.9863000000000004
6,107,3.0597
107,6,3.0597
6,108,2.3571
108,6,2.3571
6,109,2.4301
109,6,2.4301
6,110,1.9390999999999998
110,6,1.9390999999999998
6,111,2.8681
111,6,2.8681
6,112,3.0488000000000004
112,6,3.0488000000000004
6,113,2.3386
113,6,2.3386
6,114,2.7357
114,6,2.7357
6,115,2.6925
115,6,2.6925
6,116,2.0718
116,6,2.0718
6,117,3.5584000000000002
117,6,3.5584000000000002
7,8,2.184
8,7,2.184
7,9,1.1396
9,7,1.1396
7,10,0.6106
10,7,0.6106
7,11,2.791
11,7,2.791
7,12,2.4458
12,7,2.4458
7,13,2.5396
13,7,2.5396
7,14,1.1405999999999998
14,7,1.1405999999999998
7,15,2.3203
15,7,2.3203
7,16,2.2423
16,7,2.2423
7,17,0.7719
17,7,0.7719
7,18,1.6084
18,7,1.6084
7,19,3.3846999999999996
19,7,3.3846999999999996
7,20,2.6348000000000003
20,7,2.6348000000000003
7,21,2.8693
21,7,2.8693
7,22,2.8288
22,7,2.8288
7,23,1.7395999999999998
23,7,1.7395999999999998
7,24,2.6341
24,7,2.6341
7,25,2.857
25,7,2.857
7,26,2.4044
26,7,2.4044
7,27,2.4991999999999996
27,7,2.4991999999999996
7,28,2.9322
28,7,2.9322
7,29,0.8121
29,7,0.8121
7,30,1.9965
30,7,1.9965
7,31,1.5752000000000002
31,7,1.5752000000000002
7,32,2.8786
32,7,2.8786
7,33,1.6080999999999999
33,7,1.6080999999999999
7,34,2.9206
34,7,2.9206
7,35,1.1745999999999999
35,7,1.1745999999999999
7,36,1.9649
36,7,1.9649
7,37,1.4439000000000002
37,7,1.4439000000000002
7,38,2.4725
38,7,2.4725
7,39,2.6666999999999996
39,7,2.6666999999999996
7,40,1.202
40,7,1.202
7,41,2.2619000000000002
41,7,2.2619000000000002
7,42,1.5285
42,7,1.5285
